,0
2022-04-29 04:00:00+00:00,189503.9475319657
2022-05-02 04:00:00+00:00,188975.69175938782
2022-05-03 04:00:00+00:00,188525.44505099114
2022-05-04 04:00:00+00:00,185745.53879130847
2022-05-05 04:00:00+00:00,189164.18854344785
2022-05-06 04:00:00+00:00,189711.36240432394
2022-05-09 04:00:00+00:00,192903.3600551467
2022-05-10 04:00:00+00:00,192674.58305118448
2022-05-11 04:00:00+00:00,194338.9222680119
2022-05-12 04:00:00+00:00,194469.99938253357
2022-05-13 04:00:00+00:00,192248.08404545637
2022-05-16 04:00:00+00:00,192644.17630867788
2022-05-17 04:00:00+00:00,190765.24751226162
2022-05-18 04:00:00+00:00,194866.45864087789
2022-05-19 04:00:00+00:00,195461.77083041766
2022-05-20 04:00:00+00:00,195448.15180366643
2022-05-23 04:00:00+00:00,193718.93015897495
2022-05-24 04:00:00+00:00,194544.74327587412
2022-05-25 04:00:00+00:00,193663.35898317216
2022-05-26 04:00:00+00:00,191808.9676158108
2022-05-27 04:00:00+00:00,189500.52489494064
2022-05-31 04:00:00+00:00,190107.09346619935
2022-06-01 04:00:00+00:00,190834.91651096253
2022-06-02 04:00:00+00:00,189113.85340619195
2022-06-03 04:00:00+00:00,194323.08354564747
2022-06-06 04:00:00+00:00,193737.1315431757
2022-06-07 04:00:00+00:00,200813.95208250653
2022-06-08 04:00:00+00:00,200613.13813042402
2022-06-09 04:00:00+00:00,205499.28334882457
2022-06-10 04:00:00+00:00,211438.86617539532
2022-06-13 04:00:00+00:00,215959.650874192
2022-06-14 04:00:00+00:00,216387.01085796295
2022-06-15 04:00:00+00:00,214886.2984548458
2022-06-16 04:00:00+00:00,218647.96278277593
2022-06-17 04:00:00+00:00,218421.48911045873
2022-06-21 04:00:00+00:00,215902.6676774997
2022-06-22 04:00:00+00:00,216060.40382605547
2022-06-23 04:00:00+00:00,215078.23403040276
2022-06-24 04:00:00+00:00,211928.94593957454
2022-06-27 04:00:00+00:00,212256.88992150468
2022-06-28 04:00:00+00:00,214495.1905584322
2022-06-29 04:00:00+00:00,214574.25686614137
2022-06-30 04:00:00+00:00,215556.89137216427
2022-07-01 04:00:00+00:00,214468.1502527163
2022-07-05 04:00:00+00:00,214304.6853730788
2022-07-06 04:00:00+00:00,213935.919141743
2022-07-07 04:00:00+00:00,212391.4219499351
2022-07-08 04:00:00+00:00,212484.21556489368
2022-07-11 04:00:00+00:00,220661.0865391549
2022-07-12 04:00:00+00:00,222681.645933591
2022-07-13 04:00:00+00:00,223506.22561391568
2022-07-14 04:00:00+00:00,223855.1654690092
2022-07-15 04:00:00+00:00,221796.6603726119
